m,Open BCs,Periodic BCs
4,0.003949755353541926,0.07112104558706532
6,0.0024080608989020627,0.04462826773242265
8,0.00010472314846268967,0.013245000411928392
10,4.828630705687674e-05,0.008698087697057036
12,2.5943272543194758e-05,0.006270035995955495
16,2.2301907097789797e-06,0.0020946533795232138
20,2.6477313549256236e-07,0.001035476777785287
24,7.634714710281227e-08,0.0005665147770292034
28,3.499854561125917e-08,0.0003689950604655009
32,1.2147384555806246e-08,0.00021745436357186324
36,5.67180389154254e-09,0.00014649365270329867
40,6.481580283995538e-10,6.913127247887727e-05
44,1.90854146121968e-10,4.351883143140648e-05
48,7.015626536768336e-11,2.944342915063512e-05
52,3.214748563068524e-11,1.9901828017759875e-05
56,9.570149940536117e-12,1.4894243204526608e-05
60,,1.1034698512897453e-05
64,,7.2879602025641915e-06
72,,3.947571886624236e-06
80,,2.279212270705036e-06
90,,1.1226193976831768e-06
100,,5.209089402553085e-07
110,,3.070028438029578e-07
120,,1.792506306154751e-07
