i,Bond Strength,Local Sz
1,-1.6114627747822325,0.5320301720999705
2,-1.2945346388887815,-0.320892016873921
3,-1.4262287360519865,0.3732316381170614
4,-1.3781941693076987,-0.26513227579117704
5,-1.4048974838946464,0.26239587233260503
6,-1.3947452497613024,-0.19989317291430847
7,-1.4015663681845885,0.18540380420005653
8,-1.3991936334441524,-0.14682946645122152
9,-1.4011736457718045,0.1315984900079048
10,-1.400614531539921,-0.10668275733788646
11,-1.4012463604169576,0.09369802905879746
12,-1.401126537588444,-0.07706920221356775
13,-1.4013453115620353,0.06682480224426618
14,-1.4013283267305683,-0.0554613926446306
15,-1.4014099936574722,0.04766964035064646
16,-1.4014133462238108,-0.0397674708374745
17,-1.40144604329097,0.033949940833150616
18,-1.4014509696536623,-0.028377062869586536
19,-1.4014649258546492,0.024068031919464473
20,-1.4014682192933323,-0.020084752023326335
21,-1.4014745286813808,0.0168911777646251
22,-1.401476326471378,-0.013997222154637268
23,-1.4014793309345481,0.011605506217472382
24,-1.4014801931428262,-0.009451500085740921
25,-1.401481693435074,0.007615991653975527
26,-1.4014820307066946,-0.005949070849679886
27,-1.4014828101457022,0.004475795379833656
28,-1.4014828475536099,-0.00310404815537895
29,-1.4014832538468311,0.0018344721876145996
30,-1.4014830792695196,-0.0006019536521777932
31,-1.401483253846811,-0.0006019536478615867
32,-1.4014828475544565,0.0018344721993987364
33,-1.4014828101456565,-0.003104048140280734
34,-1.401482030706611,0.004475795393557772
35,-1.4014816934350625,-0.005949070826017586
36,-1.401480193142843,0.007615991682454735
37,-1.4014793309345346,-0.009451500040857331
38,-1.401476326471378,0.011605506269112846
39,-1.4014745286815018,-0.013997222093628518
40,-1.4014682192931247,0.01689117784053621
41,-1.4014649258547878,-0.020084751918039455
42,-1.4014509696534847,0.024068032012871016
43,-1.4014460432909883,-0.02837706279611874
44,-1.4014133462238718,0.03394994088184254
45,-1.4014099936575115,-0.03976747080040581
46,-1.4013283267304693,0.047669640375318685
47,-1.4013453115622758,-0.055461392670872585
48,-1.401126537588476,0.06682480225511184
49,-1.4012463604169467,-0.07706920224415909
50,-1.4006145315399223,0.09369802915960702
51,-1.4011736457728416,-0.10668275736026668
52,-1.3991936334439423,0.13159849014651745
53,-1.4015663681847095,-0.14682946648483364
54,-1.3947452497613884,0.18540380427349035
55,-1.4048974838952528,-0.19989317297947448
56,-1.3781941693076871,0.26239587235219497
57,-1.4262287360519967,-0.2651322757913941
58,-1.2945346388887162,0.3732316381176659
59,-1.6114627747823334,-0.32089201687398655
60,,0.5320301721001599
